Order_Unique_ID,Payment_Unique_ID,Payment_Sequential,Payment_Type,Payment_Installments,Payment_Value,Check_Date,Card_Type,Card_Num,Transaction_Log_ID,Transaction_User_ID,Transaction_Status
908607202,283853782,2,voucher,1,45.17,22-Mar-17,visa-electron,6329-4207-6366-7660,X84qOk2jNVD,LB16 8812 6ADE LB5O UN4R AQHF GJAV,Void
780304228,201106471,1,credit_card,2,541,22-Mar-17,jcb,5391-9749-4454-0950,0gT5YRXoe,BH64 AFSK VMG0 ZVKV PPPU O4,Cancelled
339638682,186573503,1,credit_card,2,139.22,25-Mar-17,jcb,5004-4840-1595-4430,2UJgmROM8O5,ES82 9269 5690 0200 7665 8080,Cancelled
765578162,253127061,1,credit_card,2,290.16,31-Mar-17,jcb,5817-8270-2235-1910,15BeD7o,SA56 40BM YV05 4IZE UIGN QDYQ,Cancelled
816399411,565429505,1,boleto,1,283.34,01-Apr-17,jcb,6456-6070-6697-4670,UepUyQtkP,ES80 2036 8395 4665 9585 4932,Cancelled
11259721,732622145,1,credit_card,1,13.78,04-Apr-17,visa-electron,6305-6055-2472-6290,dMtJkWH,MT75 PLCW 7786 6WSM GYHZ X1AV HE5F SLY,Void
431017596,219373505,1,credit_card,1,30.28,04-Apr-17,jcb,5594-8130-5663-5750,lFL3xt8Pgge3,IE72 IOJV 6287 7718 8734 95,Completed
397974418,504017460,1,credit_card,1,26.58,04-Apr-17,jcb,6601-2738-7628-5200,dxzgF4DZQr9,FO39 2562 0597 4746 36,Completed
642230631,136518712,1,credit_card,1,89.68,05-Apr-17,maestro,6302-9250-4667-8730,2tkVjYX4o9,PS17 YRRK W3N0 HOVQ IHCU HLCB ITW9 N,Cancelled
693271735,104483829,1,credit_card,1,65.09,07-Apr-17,diners-club-carte-blanche,6497-3261-0117-1020,keb7uFALf,PT32 5762 1328 8778 9010 3337 7,Completed
414218343,402317439,1,credit_card,1,173.84,10-Apr-17,maestro,5975-5696-3618-5330,WhZcqfEhwo,NL07 SGIK 2088 9688 91,Completed
35372030,988682668,1,credit_card,1,103.49,10-Apr-17,bankcard,4830-1952-5821-6520,rtJd3W5zd,NL14 JEMV 4209 4438 83,Completed
644129618,233941979,1,credit_card,1,64.03,10-Apr-17,bankcard,4684-5421-9087-6510,sQXiU0EZrm,SE22 1569 9659 6443 2339 6747,Cancelled
308334864,210986903,1,credit_card,3,157.15,14-Apr-17,jcb,5418-6262-0480-4380,mZzPPN8,HR42 3099 5950 7379 8862 7,Cancelled
112106012,31285621,1,boleto,1,130.88,14-Apr-17,bankcard,4794-7605-4126-5130,D4gKYL,FR27 1542 4813 007R IWHU HIXE O35,Completed
676657693,957244060,1,credit_card,2,47.72,15-Apr-17,jcb,5548-0377-8740-6290,BGAdGKmb,HU74 7879 2177 5243 9157 6727 6016,Completed
209105740,990537906,1,credit_card,8,117.74,16-Apr-17,mastercard,5079-1379-0534-7590,9LFJ5HR9ORLL,SI77 6314 3732 1001 293,Cancelled
145940108,921665740,1,boleto,1,56.6,16-Apr-17,switch,6071-4368-9702-0440,wrRr9fm,LT12 0978 5922 7004 7429,Void
28362344,390638305,1,credit_card,1,266.16,17-Apr-17,china-unionpay,6242-1204-3529-9810,QIPLgHDR,BE80 8098 7301 7616,Completed
717570746,618634604,1,boleto,1,31.38,18-Apr-17,jcb,4993-0880-4106-0260,h5NJQ9TGMc83,ME89 0237 4801 8304 2033 09,Void
480431789,694791047,1,credit_card,1,121.49,20-Apr-17,laser,5441-2918-9790-8780,JRIeqdTxtju,EE18 2329 2887 7453 9394,Void
205166968,711948532,1,credit_card,1,32,20-Apr-17,maestro,4631-7491-8860-1930,le48o3yn,FR96 1023 5213 35MS KHMX TUOT N97,Void
618768287,367830306,1,credit_card,5,153.41,21-Apr-17,jcb,6150-7953-7903-6830,0xs2IQymUA,ES09 2004 3656 6626 1622 5583,Completed
674036946,691709014,1,credit_card,5,65.71,23-Apr-17,jcb,5497-6431-9798-8240,wYOOccQ2CdE,FR57 8026 0449 7570 L1X9 WZIU E85,Cancelled
338372578,372028111,1,credit_card,4,278.22,24-Apr-17,jcb,5364-8450-8971-1410,E1Uhv4,LI37 6985 3RAM EDLV VWJA A,Completed
845326814,408019676,1,credit_card,4,91.66,25-Apr-17,switch,4569-0635-2724-8140,rsVMdHu4,CR21 8446 5541 7881 9037 1,Cancelled
11690162,37826758,1,credit_card,1,132.51,26-Apr-17,jcb,4651-0266-9793-0450,OF7AUQ,FR34 8564 7804 15MW 8FGP BZOV Y34,Cancelled
433331205,793339934,1,credit_card,4,542.66,02-May-17,jcb,5338-9657-2975-7150,MqNTFtxK1nR,MR18 0746 0081 4703 1649 1483 550,Cancelled
75922186,169901264,1,boleto,1,166.04,05-May-17,laser,4747-2415-4396-0690,2Bzmby,EE28 0342 9844 8605 0279,Cancelled
662045089,285472866,1,boleto,1,368.98,07-May-17,jcb,6424-2815-8657-5900,PRfqYn7wdnMs,HR18 6965 0702 2104 7683 7,Void
368725821,67708552,1,credit_card,2,113.2,08-May-17,jcb,6778-4325-5264-5350,Z8YKae2UnMBk,LU24 602K 7UF3 J08P Y1HE,Void
778042793,43508679,1,credit_card,3,99.43,09-May-17,bankcard,5841-1772-5942-3610,qIcZkyoqM,AT17 5355 4692 7677 7131,Completed
197223557,447065088,1,credit_card,2,27.35,11-May-17,jcb,5965-2038-2224-6090,aODcPwMXeQO,LU64 115E H5LQ DF3Q 37PG,Cancelled
208141812,423237519,1,credit_card,4,43.77,11-May-17,visa-electron,5763-5861-1145-2230,4or9Kp,LI57 7784 4R2K EED3 U30P J,Void
316508979,711712309,1,credit_card,2,68.49,12-May-17,jcb,6230-6009-3513-6620,k8sCEcuf93cw,MU75 EBCC 0097 9827 8664 3384 815P EO,Completed
649110086,684272084,1,credit_card,2,105.53,13-May-17,visa-electron,6449-6427-4224-4530,JVUfMKR,RO57 UPNW TN70 GWTG 3GRA EEMC,Void
993214215,449942502,1,credit_card,8,387.8,13-May-17,jcb,5471-9973-4170-8880,6cRz2aBE,MU44 UPJL 6944 8122 5656 2283 347K LG,Completed
565488570,25719861,1,boleto,1,84.14,22-May-17,bankcard,6099-9523-3616-2300,WvpiFk,FO61 8741 2916 0930 45,Void
732578854,486154728,1,credit_card,4,210.82,22-May-17,maestro,5819-3638-5831-8370,CHaBkeaXb,FO59 2194 7429 4115 37,Void
18979598,172081651,1,boleto,1,90.05,25-May-17,americanexpress,5450-9932-9995-5920,Txt5TG2vL,PT84 6583 0614 5203 0806 4639 3,Completed
340152444,196281025,1,credit_card,1,67.88,29-May-17,jcb,5683-2837-5762-6070,VDA74oGbm,CY71 1715 6364 MLMO ZDKT RPA7 W71M,Void
28683249,508168625,1,credit_card,2,37.58,04-Jun-17,china-unionpay,6697-4283-0818-2060,0Xq7U9B8U,IT98 R382 9694 066N GPZH GQ8N JF4,Cancelled
296745289,618868002,1,boleto,1,89.63,04-Jun-17,switch,6134-5695-3738-2210,6BzSpRTq,FR96 0506 0872 99FS UPRL U0ZL T99,Completed
689925027,824890299,1,voucher,1,69.46,05-Jun-17,jcb,6667-8949-9231-7520,ziah255i2S2z,HR49 0367 1457 1654 8386 4,Void
341292595,200986857,1,credit_card,2,78.3,06-Jun-17,jcb,6784-1498-1948-5540,1ab85iqL,GT95 ZOQK JHE6 KSHI UDMW AJYM WCDR,Completed
673768363,310749429,1,voucher,1,50.8,06-Jun-17,china-unionpay,4576-5197-8400-4310,hvk8xNrEn,FR31 3139 4602 47GG DAGO T69U N63,Cancelled
483323945,930732295,1,credit_card,1,34,08-Jun-17,diners-club-carte-blanche,6195-4593-9896-9510,JAGtBVgne,HU60 2725 5266 0771 2386 6657 8320,Cancelled
177613230,992502560,1,boleto,1,77.1,10-Jun-17,diners-club-carte-blanche,5402-2171-1523-4680,JM0bUg93Hv,CH83 9591 6ATD TA6I 3A7F Q,Cancelled
196727550,891163530,1,credit_card,5,566.4,14-Jun-17,maestro,4931-3637-4962-7000,nHA8sMAy2pq,CR03 2507 5279 8213 2650 0,Completed
430835115,824931599,1,credit_card,8,402.42,17-Jun-17,visa,5382-1740-2791-8810,s6OLVkO,FR38 6810 2136 984A RHBU 5IUW 321,Void
619047214,709017402,2,voucher,1,57.53,17-Jun-17,switch,5384-1921-7633-0020,t3jLBKn,SK77 9650 8635 3061 0980 2998,Completed
276152523,947572749,1,credit_card,3,44.01,19-Jun-17,mastercard,4994-1261-3389-8630,U0WVjYSVdT3M,LV34 UQSP TVO6 FQJC KHVP B,Cancelled
679147484,717425329,1,credit_card,3,187.51,19-Jun-17,jcb,6621-2985-9810-6250,ZOJDf9xEk0R,BA31 7479 7409 8752 0233,Cancelled
293234915,227496148,1,credit_card,3,77.7,22-Jun-17,jcb,4828-8720-8537-1660,krbdKYjS6p,FR58 4481 7614 70PK VNLP BODZ O99,Void
857793201,96515737,1,credit_card,1,48.68,25-Jun-17,americanexpress,5303-9062-9704-2220,vPLgmSAN7GFm,FR14 2293 9515 00C3 ZFQC WO1L Y91,Completed
324782087,145520000,1,credit_card,1,77.29,25-Jun-17,mastercard,5047-3986-3692-1300,vZi5TZUsEgZQ,VG63 TNUK 5998 8838 9778 1508,Completed
750763449,367273525,1,credit_card,8,117.71,27-Jun-17,maestro,5836-1385-8314-5120,HohoG4ue2,HR83 2518 4045 9142 8214 7,Void
600017409,21308162,1,credit_card,3,169.34,05-Jul-17,jcb,6199-2849-0576-9260,axRy8YUzL8Qu,MK89 907Z 7K99 EZJA O42,Void
307424276,521091217,1,credit_card,1,37.61,06-Jul-17,china-unionpay,5249-6032-1607-6710,iTJUF9GBi,TN19 6038 4923 6102 3048 5836,Cancelled
477735425,749528541,1,credit_card,1,13.8,07-Jul-17,mastercard,5409-9681-9288-2150,sKW7ffQ,MU55 CJYR 3278 1597 0775 8230 550W NV,Completed
741425733,157934718,1,debit_card,1,227.12,08-Jul-17,visa-electron,5600-8487-6673-9090,vxwwcs,FR21 2529 4146 97KE H21N QC46 J46,Void
491626244,661166307,1,credit_card,3,34.78,13-Jul-17,maestro,5730-8622-2599-8610,pi6Vab,MK06 566U IRHZ OQY1 F44,Cancelled
428764912,880367871,1,credit_card,10,342.56,15-Jul-17,jcb,5273-5001-9544-9650,bJndW9,BA56 9275 0889 0178 3109,Void
292685539,299984821,1,credit_card,7,73.34,20-Jul-17,mastercard,4919-8901-4258-5290,hB0qdSV6,TN37 2815 2112 1944 7287 7051,Void
941201912,5769557,1,credit_card,4,117.85,20-Jul-17,diners-club-carte-blanche,6625-2695-1531-6330,O4YYsl5,LT43 2157 7787 3422 2530,Completed
462422336,974873076,1,credit_card,1,48.62,23-Jul-17,switch,6069-4459-3997-0740,VCwYiYd,LU48 178M KH75 X45B SDNN,Void
108822903,618583521,1,credit_card,1,53.99,23-Jul-17,diners-club-us-ca,5228-4650-7729-3350,iKaccm8ZPXj1,CR16 5276 9486 5874 7257 3,Cancelled
933693594,25552494,1,credit_card,1,51.14,26-Jul-17,jcb,5217-6177-1506-7830,xcu2qDwXM,NL27 OHFK 6462 6055 62,Cancelled
218063808,375165512,1,credit_card,2,121.45,28-Jul-17,jcb,5773-9767-1967-6090,lP6hq7mw00Q,FR71 9679 8293 48RQ NBDX TWBX K96,Cancelled
819054898,466141116,1,credit_card,1,73.34,28-Jul-17,jcb,5044-8324-8795-6360,sPtfnDtv,IE11 IESF 1369 9138 6188 29,Cancelled
808810712,651473746,1,credit_card,10,117.68,29-Jul-17,diners-club-carte-blanche,5293-9308-6642-8840,x2ibaLIkIC,ME82 2785 6838 7734 3574 18,Completed
233345444,700445957,1,credit_card,1,56.77,03-Aug-17,mastercard,6679-7064-6593-2730,P4sxrl06Rm,VG58 DWIK 1055 0292 3395 5079,Cancelled
852821666,407108459,1,credit_card,2,115.59,03-Aug-17,visa-electron,5498-7126-5580-2240,DZ7WwK9Lxnx,GE49 ST97 9389 2854 9842 63,Void
50508445,757772688,1,credit_card,6,60.07,03-Aug-17,jcb,5657-6339-5105-2480,FjSFtai,BG25 BPUE 9914 54U7 6YYB TN,Completed
628188341,166996827,1,credit_card,1,27.27,06-Aug-17,jcb,5086-9267-4277-0260,4iSV9hG,SA21 32JG QHXR CHL3 1DZQ H2AG,Void
309033336,669459852,1,boleto,1,32.15,07-Aug-17,laser,5592-7081-4499-3710,GdyggqV,SA83 51AM VKA2 88B5 HU1N 1CSS,Completed
297055922,779176446,1,credit_card,3,195.71,22-Aug-17,americanexpress,5419-6209-8531-3580,INZqR9DHwx,PS30 KTWA GEJP VTUM FGIA 0E26 N3SQ Q,Completed
62679731,665689353,2,voucher,1,43.12,26-Aug-17,diners-club-carte-blanche,4915-7034-2468-8900,YksZndBI,DK45 5204 6042 6996 00,Void
710065483,310892776,1,credit_card,1,88.49,28-Aug-17,jcb,5619-4398-2652-5000,RvzfwkyTW3e,AT53 5905 3628 2471 4157,Cancelled
810828190,294451817,1,credit_card,3,34.09,28-Aug-17,jcb,5269-1538-6467-4340,gq9XkvszR,FR77 1471 5132 76LE K3IS RWAG I41,Void
796541153,126785299,1,credit_card,1,40.99,03-Sep-17,jcb,4911-0107-3926-3740,W55eulC,FR20 1317 2612 217D 2TC7 7HKD F52,Void
856110353,841579743,1,credit_card,3,71.99,06-Sep-17,jcb,4892-7877-3937-3700,QnX8HdXPsDeX,BR36 3648 6622 2551 8566 6249 606T N,Cancelled
75489687,761469872,1,boleto,1,47,07-Sep-17,jcb,5209-8347-9562-9670,nKltRe4WP3,GB08 DRHC 9724 1768 9110 85,Void
315265250,879020682,1,credit_card,3,81.78,11-Sep-17,jcb,4807-6767-1922-4290,DAMCVLVOrm,GR08 2876 507N E8RS GVHN 3OB6 H73,Void
961725560,602360305,1,credit_card,3,231.45,12-Sep-17,china-unionpay,5327-1383-1222-1050,SZub8LCdWXj,DE39 9498 1418 0558 9040 58,Completed
619102257,365508619,1,credit_card,7,144.2,13-Sep-17,americanexpress,5564-9208-1369-9450,GGMwIZcbs,GI60 UKZA KZ3A ARUG WVKC G4V,Completed
485657073,24978093,1,debit_card,1,35.14,15-Sep-17,maestro,5434-3341-0806-8000,xH6EL4T,BG86 IPOA 4670 11HS CTYX XE,Cancelled
612755603,7322919,1,credit_card,10,285.79,15-Sep-17,jcb,6202-1446-1123-2430,xtxZHQO,FR93 1310 7155 50PY WNKV W6FX Z46,Void
338930426,92129566,1,credit_card,2,176.7,16-Sep-17,jcb,5493-1434-1372-1930,SMh8QVuh5,BH47 QEGE 6TKQ XR0J 3GTS KH,Cancelled
749700255,314211342,1,credit_card,2,27.63,16-Sep-17,americanexpress,5738-8595-3537-4230,MIcyivU6N,CY50 5751 4190 XVUJ QNE7 OQTC TKOS,Completed
773317763,76811382,1,credit_card,8,134.56,18-Sep-17,switch,6324-5621-0689-7130,o6XMI1QslgN,SE34 7369 1440 0019 4532 9371,Cancelled
255789484,546378185,1,credit_card,4,96.98,19-Sep-17,jcb,4836-2244-0819-8310,RR2S2HBK,GR90 8550 623I YCR3 ZQOA HLAH OPK,Completed
285992412,367736095,1,credit_card,2,110.03,20-Sep-17,jcb,6143-8440-3724-8000,AS1ZX2,FR07 4522 4336 52WT ZD3F ULR5 D98,Void
364934995,689517797,1,credit_card,1,17.78,22-Sep-17,china-unionpay,5378-7265-6769-2770,4bdgesggFhAz,FR13 7347 0316 7270 QWBH KA26 O80,Void
184765503,593767727,1,credit_card,1,44,23-Sep-17,visa,6093-7882-2082-4380,0ikmpuh,MK71 293S Y4WO LL48 H85,Void
850646227,22436271,1,credit_card,4,110.11,26-Sep-17,visa,5390-2453-2723-6180,dgAQ1kwMGmaM,FR51 6350 3128 80L9 6MWA 9XHA 174,Void
380131079,823678123,4,voucher,1,22.49,01-Oct-17,jcb,6225-6690-3373-5510,8JBIOeU,DK41 4049 3208 5861 14,Completed
274057746,231797026,1,credit_card,4,46.63,01-Oct-17,jcb,6009-8741-9899-4050,KDUIWajmSu7,FR11 1168 9949 7903 MPDH 8QL0 P93,Cancelled
160861545,48402267,1,boleto,1,52.21,02-Oct-17,jcb,5388-0072-3000-2430,HVpGs3PlvJ,CZ13 2083 9835 4187 2372 2601,Completed
664309094,79595669,1,credit_card,2,61.77,04-Oct-17,jcb,6416-9766-9722-1350,tjttz5Ks,EE66 8322 2303 5790 1720,Completed
641782921,502562505,1,boleto,1,121.88,05-Oct-17,jcb,6138-1083-8246-2840,FaYpYRw6ClK,IS64 0586 2583 6578 0523 8494 46,Cancelled
834231009,66691221,1,credit_card,1,75.75,07-Oct-17,visa-electron,5716-9164-6508-5740,pEuCuYl,GB54 GPEM 4485 5527 0283 54,Completed
442351326,886838548,1,credit_card,1,130.22,09-Oct-17,jcb,5669-8480-7816-9920,eDShBo4,MD44 YR6D GDEQ 6IF8 HBT5 KDA7,Completed
77486022,911245321,1,credit_card,3,57.53,12-Oct-17,maestro,4805-8498-7944-2310,Ir8afy,FR69 5303 7188 87AS LZZE 8OGY W11,Completed
714805043,974244663,1,credit_card,7,76.02,15-Oct-17,jcb,5577-3972-3586-6560,cYeJ3GH2,DO10 AWSU 6150 2793 9212 9983 8066,Cancelled
901016560,419980444,1,boleto,1,90.17,16-Oct-17,mastercard,6073-5441-9950-8000,So8MsPxeUcG7,RS73 4002 2193 4778 7201 80,Cancelled
854127358,214836932,1,credit_card,1,31,17-Oct-17,diners-club-enroute,5878-7960-3360-8830,2WMzRKPMkgd6,PL68 9339 3080 2978 2330 8551 3883,Void
434676306,292751738,1,credit_card,10,106.77,21-Oct-17,diners-club-carte-blanche,5743-7497-4469-6140,2S2uwFpfghAy,LI02 6372 2NQR M8ZS FWVA F,Completed
253317543,817967375,1,voucher,1,163.25,22-Oct-17,jcb,6726-0287-6132-4380,0fhhMp,FR73 4310 4454 59OE ROJV YCG9 Y29,Cancelled
773444004,546890178,1,boleto,1,233.66,27-Oct-17,diners-club-enroute,5341-6137-7299-6980,kGFfZW4F,AE87 7003 0725 2991 7072 842,Completed
270253384,790623657,1,credit_card,1,163.08,27-Oct-17,switch,5891-8262-3022-8630,2gkxCrBwm,AT77 5486 5670 3073 3623,Void
361246593,504370452,1,credit_card,4,135.93,28-Oct-17,jcb,5136-7250-1992-2530,G1YNrotiy3,PT57 7937 3950 9382 9678 3728 9,Completed
228502385,50141177,1,credit_card,1,267.05,30-Oct-17,jcb,4665-5803-6016-4970,SUI6ZIKACOTo,BH87 HQDN 5KCD DWZC SEBP X3,Completed
333045461,545666576,1,credit_card,7,186.72,31-Oct-17,mastercard,4851-4003-7560-3540,DfJ21kxz2X,GT09 UMLY RHRZ WXLN KXVI 0YFD RKK3,Completed
399229655,208886967,2,voucher,1,30,04-Nov-17,bankcard,5842-1967-8505-0950,n1JuS0,IL93 9933 2986 6380 3261 373,Cancelled
639729280,368256012,1,credit_card,4,97.28,05-Nov-17,americanexpress,5364-8527-3921-9880,J8AOCrc7X,SE55 8716 9996 4771 0690 7056,Void
156921116,258746949,1,credit_card,1,48.61,10-Nov-17,mastercard,5602-1436-9524-2380,Q6zjpX,AT95 1577 0495 5615 9942,Cancelled
422370455,330442477,1,boleto,1,116.7,11-Nov-17,instapayment,5069-6922-1601-5740,LTos6Q8tup,FR92 2382 9878 458W LRM8 YPEI 646,Cancelled
63051753,118117084,1,credit_card,1,41.42,12-Nov-17,jcb,6581-1897-5438-4940,qmOHUDziptLU,FR86 9849 7166 62SD 1B9O DPFM C75,Completed
594096942,888982104,1,boleto,1,42.19,12-Nov-17,jcb,6207-4197-1094-4950,QGPgou3z5bR,GR90 8287 343F 18QV 9KCQ BCDV 5OG,Completed
90204761,113480929,1,credit_card,6,125.53,16-Nov-17,mastercard,6142-8582-6109-3070,uyJmmMkYFL,EE62 2634 4500 4350 9839,Cancelled
81801256,879982904,1,credit_card,5,92.76,18-Nov-17,maestro,6286-3024-7641-4770,rdWUdMVC,RS35 7254 6897 5101 3330 56,Completed
640026725,367069649,1,credit_card,8,348.02,18-Nov-17,jcb,5858-4679-9838-4810,NxdUKpHeh19,FR69 6129 9749 22GI ULZW 1TDZ Y38,Cancelled
249750266,248843356,1,credit_card,2,203.3,22-Nov-17,diners-club-enroute,4944-9158-9694-1670,OaEu6sqOfL9,DE34 6119 9858 0640 0855 58,Cancelled
770522152,34196834,1,credit_card,3,44.35,27-Nov-17,maestro,6035-5491-8215-3100,h7SrLKVokRx,LT64 7017 4472 7587 2598,Completed
557681740,945920020,1,credit_card,10,116.05,30-Nov-17,jcb,6388-9853-5839-9210,i9XXW3,FR83 8635 7331 57TW 6XAA 16AW J60,Cancelled
955763074,766493204,1,boleto,1,85.14,01-Dec-17,americanexpress,6632-1215-3347-3740,eg7axV,LU48 6348 01SR NU5X XZDK,Cancelled
850154752,934522811,1,credit_card,4,236.66,05-Dec-17,china-unionpay,4909-4867-0703-0800,rCAYPM8VBRr,AL53 9203 5535 1IBH GTA0 EVHT FFRB,Void
937419558,302302513,1,credit_card,4,220.3,06-Dec-17,diners-club-international,5191-3284-9997-3250,sr9yW32x10j,FR85 1357 3050 10Y7 E80N 9CS5 896,Void
261760859,152436689,1,credit_card,1,180.55,07-Dec-17,jcb,4854-5711-4233-9300,jvkzmHZQqN0,BH52 VEIG VSQM OJRM EMFH MY,Completed
286022760,910472924,1,boleto,1,45.46,09-Dec-17,jcb,5498-6531-4690-7040,i371Om,LV68 KAAS N8M7 DN5G BWBC Q,Void
737628868,616497352,1,boleto,1,26.08,09-Dec-17,maestro,4859-9721-9434-7190,FGKa2vCfs3A,CR41 3940 8893 0829 0018 6,Cancelled
457934220,756041046,1,credit_card,1,375.74,09-Dec-17,jcb,5640-0682-5034-2530,kMneeUmlkf,GE57 BH93 8517 6197 0683 83,Completed
839195335,978123408,1,credit_card,5,123.41,09-Dec-17,jcb,5911-4499-7431-4510,85LP8wkBrd,FR55 1143 2810 653N VRIM BI4H O01,Completed
836018350,858339746,1,credit_card,10,379.07,11-Dec-17,switch,5716-5716-0763-7690,fe8NjbvG,LV09 QDGU B9EC JPBJ F18E S,Void
526910132,71385024,1,credit_card,10,2027.16,12-Dec-17,maestro,6049-8547-8860-6120,6k6sRJiziaze,BR72 4634 8780 1560 6709 4733 115H T,Void
610233868,801404987,1,credit_card,1,45.5,16-Dec-17,jcb,5749-2434-0834-2440,x9sBGenC,DO29 UZZM 1588 3950 3254 5696 4914,Void
663545201,910065149,1,credit_card,1,91.17,16-Dec-17,diners-club-enroute,5264-9940-1951-3940,PHuGHlaiPPUQ,FR63 8462 9981 652Z WBGC QKT0 790,Cancelled
66043226,185101530,1,boleto,1,93.26,21-Dec-17,americanexpress,4928-4390-2183-9410,QI6OO9KslZzP,FR65 6650 6634 22ST CCAL 48WQ A81,Void
976247084,496115764,2,voucher,1,30,22-Dec-17,jcb,5097-6496-0435-3070,TAwgZAmry,FR19 4368 6195 09RU DKSI BTUN Q25,Void
120990945,317928424,1,credit_card,10,165.96,22-Dec-17,jcb,5046-2858-8320-8680,mn8pBrG,GL50 5170 0144 9221 56,Completed
401445299,987804526,2,voucher,1,50,24-Dec-17,maestro,5492-9359-1552-5220,eUHgENtx,MU58 BYYX 7745 8190 0830 4249 692J WG,Void
740220497,51767004,1,credit_card,10,1002.73,25-Dec-17,jcb,6551-3163-3650-9390,9tqtT6bt6,BG06 XDWM 8300 02ER 8TWU LE,Completed
454489284,261634104,1,boleto,1,116.56,27-Dec-17,jcb,5894-3771-8634-1140,dbV9yKLC,CH03 3245 9GY1 DKH9 SCPS V,Completed
